course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
4144,Facility Handbook (Demo),en-US,1,2,5,"Information,Resources,Restricted_Visibility"
2506,Timpone - PRODUCTION - iPathways,en-US,1,1,1,Edovo_Test_Course
1411,i-Pathways,en-US,1,1,1,"Academic,Algebra,Earn,GED,GED_prep,Geometry,Language_Arts,Learn,Math,Restricted_Visibility,Science,Social_Studies,Test_Prep,i_pathways,no_kdoc"
1253,Pre-Test: Social Studies (CDN),en-US,1,50,108,"Earn,Learn"
3900,"ECF - Communication, Mail and Visitation",en-US,1,1,1,"ELLSWORTH_KDOC_ONLY,Information,Resources,Restricted_Visibility"
4294,Chapter 1 Section 8: Victim Services - MT DOC Policy & Procedure,en-US,2,2,4,"Dawson_County_Only,Information,LI_MT_DOC_only,Lewiston_MT_DOC_only,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
4249,Medication Assisted Treatment,en-US,1,1,1,"Earn,Health_Recovery,Information,MAINE_DOC_ONLY,Physical_Health,Resources,Restricted_Visibility"
2249,Centro de Justicia Adulta del Condado de Kane - Manual del Detenido,es-US,2,2,2,"Information,KANE_COUNTY_ONLY,Resources,Restricted_Visibility"
4371,Lassen County: Civic Engagement and Jail Programming,en-US,1,54,108,Restricted_Visibility
4098,Introduction to Pain Relievers (IYH),en-US,1,1,3,"Bartow_Only,Christian_County_Only,LI_MT_DOC_only,MAINE_DOC_ONLY,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Restricted_Visibility,Riverside_MT_DOC_only,Woodford_Only"
4112,Using Medicine Safely (IYH),en-US,1,1,3,"Bartow_Only,Christian_County_Only,LI_MT_DOC_only,MAINE_DOC_ONLY,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Restricted_Visibility,Riverside_MT_DOC_only,Woodford_Only"
1209,Job Documents,en-US,1,11,30,"Earn,Learn"
859,Speak Etc. - Workplace Language and Social Skills,en-US,1,14,33,"Assessment_Mult_Choice,COURSE,Communication,Content_Performance,Course_Length_1,Earn,Job_Search,Job_Skills,Jobs,Jobs_Finance,Learn,Reentry_Community,Social_Skills,Text_Item,Time_Completion_Low,Video_Item,Workplace,Workplace_Skills,no_edovogo"
4054,Reentry Assistance Programs,en-US,1,2,3,"COURSE,Earn,Information,KANE_COUNTY_ONLY,Reentry,Resources,Restricted_Visibility"
2003,Sacramento County Survey I,en-US,1,43,72,"Assessment_Survey,Course_Length_1,Earn,Information,Learn,Life,Reentry_Community,Reference,Restricted_Visibility,SURVEY,State_Specific_Course,Text_Item,Time_Completion_Low,sacramento_only"
4133,Consent to Participate PDF Version (IYH),en-US,1,1,2,Restricted_Visibility
3971,NCF - Training and Staff Development,en-US,2,2,4,"Information,NORTON_KDOC_ONLY,Resources,Restricted_Visibility"
2834,(Draft 2) Finding Resources That Matter to You,en-US,1,9,16,Edovo_Test_Course
2126,Bartow County Sheriff's Office - Jail Inmate Handbook,en-US,1,36,71,"Earn,Learn"
4421,Memo - Canteen Application on the Edovo Tablets,en-US,1,1,2,"COURSE,Information,MSP_MT_DOC_only,Mandatory_Course,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
3733,This is Real Life: One or The Other,en-US,1,1,3,"Earn,Greensboro_Sermons,Learn,Life,Restricted_Visibility,Spirituality,guilford_only,highpoint_only"
