course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
4416,"Sin and the Call to Conversion, Lesson 2",en-US,7,29,112,"CDU-3575,Earn-995,Learn-524,Religion-1040,Religion_Spirituality-449,Religious-470,Religious_Study-2596,Spirituality-971"
4259,"Oración en la Vida Cristiana, Oración Cristiana, Lección 1",en-US,7,23,86,"CDU-3575,Earn-995,Learn-524,Religion_Spirituality-449,Religious-470,Religious_Study-2596,Spirituality-971"
711,Level 2 Reading Practice: Social Studies,en-US,4,8,55,"Academic-437,Adult_Basic_Education-1025,Assessment_Mult_Choice-2203,Assessment_Short_Answer-2197,COURSE-37,Content_Performance-2230,Course_Length_1-2263,Earn-995,English_Language_Arts-140,GED-77,GED_prep-3595,Language_Arts-143,Learn-524,Level_Intermediate-2257,Level_Literacy_2-2242,PDF-55,PDF_Reading-2167,Picture_Media-2188,Reading_Practice-2422,Reading_Writing-2404,Text_Item-2161,Time_Completion_Low-2311"
1135,Bible Study V - Thessalonians and Philemon,en-US,6,495,1040,"Bible-1304,Earn-995,Faith-2680,Learn-524,Life-872,Philemon-2041,Spiritual-2158,Spirituality-971,Thessalonians-2770"
1045,Continuing Your Education: An Introduction to College Courses,en-US,5,13,39,"Academic-437,College-1055,Content_Reference-2233,Course_Length_1-2263,Diploma-2809,Earn-995,Education-1019,Learn-524,Personal_Growth-2593,Picture_Media-2188,Reentry_Community-2155,Reference-593,Text_Item-2161,Time_Completion_Low-2311,University-2935,demo_content-3573"
3520,Communication Strategies,en-US,1,3,20,Restricted_Visibility-2077
1441,Microsoft Edge test,en-US,1,2,6,"Earn-995,Learn-524"
909,RLA - Reading Comprehension III ,en-US,8,111,183,"Academic-437,Assessment_Mult_Choice-2203,COURSE-37,Content_Performance-2230,Course_Length_2-2266,Earn-995,English_Language_Arts-140,GED-77,GED_prep-3595,Grammar-314,Language_Arts-143,Learn-524,Level_Intermediate-2257,Level_Literacy_4-2248,PDF_Reading-2167,Reading_Practice-2422,Reading_Writing-2404,Text_Item-2161,Time_Completion_Medium-2314,Words-2821"
4323,"Hosea: Master of Theology, Lesson Two - The Prophets and Morality",en-US,9,22,81,"CDU-3575,COURSE-37,Earn-995,Learn-524,Religion-1040,Religion_Spirituality-449,Religious_Study-2596,Spirituality-971"
4436,Brian Hamilton Foundation's Starter U,en-US,5,36,251,"Career_Exploration-413,Earn-995,Entrepreneurship-440,Job_Skills-734,Jobs-1127,Learn-524,bhf-3615"
835,Snag a Job ,en-US,4,35,124,"Assessment_Mult_Choice-2203,COURSE-37,CV-2005,Content_Performance-2230,Course_Length_1-2263,Cover_Letter-2896,Earn-995,Interview-908,Job_Search-488,Job_Skills-734,Job_Tips-1298,Jobs-1127,Jobs_Finance-635,Learn-524,Level_All-2251,PDF_Reading-2167,Resume-2002,Snag_A_Job-632,Text_Item-2161,Time_Completion_Low-2311,Video_Item-2185,Workplace-2887,no_edovogo-1930"
1431,"English Language Arts, Part 3 (Vicki)",en-US,6,35,75,"Earn-995,Learn-524"
4003,SCF - Food Service,en-US,6,6,12,"Information-2071,Resources-2437,Restricted_Visibility-2077,STOCKTON_KDOC_ONLY-3566"
2485,Concepts in Biblical Interpretation Part II (BST 305.3),en-US,5,132,401,"Academic-437,Bible-1304,COURSE-37,Cell_Division-1307,Christianity-503,College-1055,Earn-995,Learn-524,Religion-1040,Religious_Study-2596,Spiritual-2158,Spirituality-971"
4028,LCMHF  - Special Management Offenders,en-US,2,2,16,"Information-2071,LARNED_KDOC_ONLY-3574,Resources-2437,Restricted_Visibility-2077"
3886,Our Daily Bread - Q2 2019,en-US,3,91,273,"COURSE-37,Christian-1301,Earn-995,Learn-524,Life-872,Religion_Spirituality-449,Religious-470,Religious_Study-2596,Spiritual-2158,Spirituality-971"
2723,Wisconsin Driver's License [C1 Version],en-US,6,19,74,Restricted_Visibility-2077
